idModelInstance,Parameter,Value,Unit,Description,Reference
Dermal_PBK_Quindroit_Simplified_PARAM,k_ds,0.0025,,,
Dermal_PBK_Quindroit_Simplified_PARAM,k_dv,0.25,,,
Dermal_PBK_Quindroit_Simplified_PARAM,Q_total,300.0,,,
Dermal_PBK_Quindroit_Simplified_PARAM,F_skin,15.0,,,
Dermal_PBK_Quindroit_Simplified_PARAM,PC_skin,12.0,,,
Dermal_PBK_Quindroit_Simplified_PARAM,PC_rest,10.0,,,
Dermal_PBK_Quindroit_Simplified_PARAM,CL_urine,0.2,,,
