time,APlasma,[APlasma]
0.0,0.0,0.0
0.041666666666666664,0.0004569681367784772,0.00017794709376108925
0.08333333333333333,0.0003599701319843936,0.00014017528504065173
0.125,0.00025888186959617244,0.00010081069688324472
0.16666666666666666,0.00018515170784313105,7.20995747052691e-05
0.20833333333333331,0.00013304508769364728,5.1808834771669496e-05
0.25,9.634286532558574e-05,3.7516692104978876e-05
0.29166666666666663,7.049616484079445e-05,2.745177758597915e-05
0.3333333333333333,5.2290689748062074e-05,2.0362418126192394e-05
0.375,3.9463150795925644e-05,1.5367270559161078e-05
0.41666666666666663,3.0420602516250735e-05,1.1846029017231595e-05
0.4583333333333333,2.4041972416750125e-05,9.362138791569362e-06
0.5,1.9538280360392862e-05,7.608364626321208e-06
0.5416666666666666,1.635426177456254e-05,6.368481999440242e-06
0.5833333333333333,1.4099134957566108e-05,5.490317351077145e-06
0.625,1.2497876860718613e-05,4.86677447847298e-06
0.6666666666666666,1.135693273562527e-05,4.422481594869654e-06
0.7083333333333333,1.054008274135852e-05,4.1043935908716976e-06
0.75,9.95146080159804e-06,3.875179439874626e-06
0.7916666666666666,9.523593257543655e-06,3.7085643526260342e-06
0.8333333333333333,9.208989584478105e-06,3.5860551341425636e-06
0.875,8.974233112504573e-06,3.4946390625017806e-06
0.9166666666666666,8.795801465348208e-06,3.425156333858336e-06
0.9583333333333333,8.657140187600762e-06,3.371160509190328e-06
1.0,8.5465967460174e-06,3.328113997670327e-06
1.0416666666666665,0.0004654250969157116,0.0001812403025372709
1.0833333333333333,0.00036834956888315187,0.00014343830563985665
1.125,0.00026719466019400147,0.00010404776487305353
1.1666666666666665,0.00019340519266959483,7.531354854735002e-05
1.2083333333333333,0.00014124483716473083,5.5001883631125705e-05
1.25,0.00010449249604791555,4.069022431772412e-05
1.2916666666666665,7.859838673413064e-05,3.060684841671754e-05
1.3333333333333333,6.034754686507255e-05,2.3499823545589e-05
1.375,4.74763468028537e-05,1.8487673988650194e-05
1.4166666666666665,3.839129756961589e-05,1.4949882231158838e-05
1.4583333333333333,3.197111913621286e-05,1.244981274774644e-05
1.5,2.7426653157197115e-05,1.0680160886759001e-05
1.5416666666666665,2.420254432761411e-05,9.424666794242254e-06
1.5833333333333333,2.1907913593905624e-05,8.531119000742066e-06
1.625,2.026767797892019e-05,7.892397966869233e-06
1.6666666666666665,1.908823817491868e-05,7.433114554096058e-06
1.7083333333333333,1.8233340450890566e-05,7.1002104559542696e-06
1.75,1.760709181878849e-05,6.856344166194895e-06
1.7916666666666665,1.7142001765983863e-05,6.675234332548233e-06
1.8333333333333333,1.6790570397772692e-05,6.538384111282201e-06
1.875,1.6519366190558957e-05,6.432774996323582e-06
1.9166666666666665,1.6304858522282066e-05,6.349243972851272e-06
1.9583333333333333,1.6130484826808745e-05,6.281341443461349e-06
2.0,1.598458868249464e-05,6.224528303152118e-06
2.0416666666666665,0.00047282579987365176,0.0001841221962124812
2.083333333333333,0.0003757178867954159,0.0001463075883159719
2.125,0.0002745290922884033,0.00010690385213722869
2.1666666666666665,0.0002007055379451319,7.815636212816663e-05
2.208333333333333,0.00014851097706537755,5.783137736190714e-05
2.25,0.00011172563056056613,4.350686548308649e-05
2.2916666666666665,8.579859179632048e-05,3.3410666587352204e-05
2.333333333333333,6.751510119654559e-05,2.6290927257221805e-05
2.375,5.461145895118563e-05,2.1266144451396275e-05
2.4166666666666665,4.5494349510134635e-05,1.7715868189304766e-05
2.458333333333333,3.9042450987175295e-05,1.5203446646096298e-05
2.5,3.446660653133091e-05,1.3421575752075899e-05
2.5416666666666665,3.1211424323629933e-05,1.2153981434435332e-05
2.583333333333333,2.8886029739080502e-05,1.1248453948240071e-05
2.625,2.7215332891016266e-05,1.0597871063479854e-05
2.6666666666666665,2.6005730314626403e-05,1.0126842022829595e-05
2.708333333333333,2.5120969238624378e-05,9.782308893545318e-06
