time,Skin,Aart,[Aart]
0.0,2.0,0.0,0.0
0.041666666666666664,1002.0,0.0,0.0
0.08333333333333333,1002.0,0.0,0.0
0.125,1002.0,0.0,0.0
0.16666666666666666,1002.0,0.0,0.0
0.20833333333333334,1002.0,0.0,0.0
0.25,1002.0,0.0,0.0
0.2916666666666667,1002.0,0.0,0.0
0.3333333333333333,1002.0,0.0,0.0
0.375,1002.0,0.0,0.0
0.4166666666666667,1002.0,0.0,0.0
0.4583333333333333,1002.0,0.0,0.0
0.5,1002.0,0.0,0.0
0.5416666666666666,1002.0,0.0,0.0
0.5833333333333334,1002.0,0.0,0.0
0.625,1002.0,0.0,0.0
0.6666666666666666,1002.0,0.0,0.0
0.7083333333333334,1002.0,0.0,0.0
0.75,1002.0,0.0,0.0
0.7916666666666666,1002.0,0.0,0.0
0.8333333333333334,1002.0,0.0,0.0
0.875,1002.0,0.0,0.0
0.9166666666666666,1002.0,0.0,0.0
0.9583333333333334,1002.0,0.0,0.0
1.0,1002.0,0.0,0.0
1.0416666666666667,2002.0,0.0,0.0
1.0833333333333333,2002.0,0.0,0.0
1.125,2002.0,0.0,0.0
1.1666666666666667,2002.0,0.0,0.0
1.2083333333333333,2002.0,0.0,0.0
1.25,2002.0,0.0,0.0
1.2916666666666667,2002.0,0.0,0.0
1.3333333333333333,2002.0,0.0,0.0
1.375,2002.0,0.0,0.0
1.4166666666666667,2002.0,0.0,0.0
1.4583333333333333,2002.0,0.0,0.0
1.5,2002.0,0.0,0.0
1.5416666666666667,2002.0,0.0,0.0
1.5833333333333333,2002.0,0.0,0.0
1.625,2002.0,0.0,0.0
1.6666666666666667,2002.0,0.0,0.0
1.7083333333333333,2002.0,0.0,0.0
1.75,2002.0,0.0,0.0
1.7916666666666667,2002.0,0.0,0.0
1.8333333333333333,2002.0,0.0,0.0
1.875,2002.0,0.0,0.0
1.9166666666666667,2002.0,0.0,0.0
1.9583333333333333,2002.0,0.0,0.0
2.0,2002.0,0.0,0.0
2.0416666666666665,3002.0,0.0,0.0
2.0833333333333335,3002.0,0.0,0.0
2.125,3002.0,0.0,0.0
2.1666666666666665,3002.0,0.0,0.0
2.2083333333333335,3002.0,0.0,0.0
2.25,3002.0,0.0,0.0
2.2916666666666665,3002.0,0.0,0.0
2.3333333333333335,3002.0,0.0,0.0
2.375,3002.0,0.0,0.0
2.4166666666666665,3002.0,0.0,0.0
2.4583333333333335,3002.0,0.0,0.0
2.5,3002.0,0.0,0.0
2.5416666666666665,3002.0,0.0,0.0
2.5833333333333335,3002.0,0.0,0.0
2.625,3002.0,0.0,0.0
2.6666666666666665,3002.0,0.0,0.0
2.7083333333333335,3002.0,0.0,0.0
2.75,3002.0,0.0,0.0
2.7916666666666665,3002.0,0.0,0.0
2.8333333333333335,3002.0,0.0,0.0
2.875,3002.0,0.0,0.0
2.9166666666666665,3002.0,0.0,0.0
2.9583333333333335,3002.0,0.0,0.0
3.0,3002.0,0.0,0.0
3.0416666666666665,4002.0,0.0,0.0
3.0833333333333335,4002.0,0.0,0.0
3.125,4002.0,0.0,0.0
3.1666666666666665,4002.0,0.0,0.0
3.2083333333333335,4002.0,0.0,0.0
3.25,4002.0,0.0,0.0
3.2916666666666665,4002.0,0.0,0.0
3.3333333333333335,4002.0,0.0,0.0
3.375,4002.0,0.0,0.0
3.4166666666666665,4002.0,0.0,0.0
3.4583333333333335,4002.0,0.0,0.0
3.5,4002.0,0.0,0.0
3.5416666666666665,4002.0,0.0,0.0
3.5833333333333335,4002.0,0.0,0.0
3.625,4002.0,0.0,0.0
3.6666666666666665,4002.0,0.0,0.0
3.7083333333333335,4002.0,0.0,0.0
3.75,4002.0,0.0,0.0
3.7916666666666665,4002.0,0.0,0.0
3.8333333333333335,4002.0,0.0,0.0
3.875,4002.0,0.0,0.0
3.9166666666666665,4002.0,0.0,0.0
3.9583333333333335,4002.0,0.0,0.0
4.0,4002.0,0.0,0.0
4.041666666666667,5002.0,0.0,0.0
4.083333333333333,5002.0,0.0,0.0
4.125,5002.0,0.0,0.0
4.166666666666667,5002.0,0.0,0.0
4.208333333333333,5002.0,0.0,0.0
4.25,5002.0,0.0,0.0
4.291666666666667,5002.0,0.0,0.0
4.333333333333333,5002.0,0.0,0.0
4.375,5002.0,0.0,0.0
4.416666666666667,5002.0,0.0,0.0
4.458333333333333,5002.0,0.0,0.0
4.5,5002.0,0.0,0.0
4.541666666666667,5002.0,0.0,0.0
4.583333333333333,5002.0,0.0,0.0
4.625,5002.0,0.0,0.0
4.666666666666667,5002.0,0.0,0.0
4.708333333333333,5002.0,0.0,0.0
4.75,5002.0,0.0,0.0
4.791666666666667,5002.0,0.0,0.0
4.833333333333333,5002.0,0.0,0.0
4.875,5002.0,0.0,0.0
4.916666666666667,5002.0,0.0,0.0
4.958333333333333,5002.0,0.0,0.0
5.0,5002.0,0.0,0.0
5.041666666666667,6002.0,0.0,0.0
5.083333333333333,6002.0,0.0,0.0
5.125,6002.0,0.0,0.0
5.166666666666667,6002.0,0.0,0.0
5.208333333333333,6002.0,0.0,0.0
5.25,6002.0,0.0,0.0
5.291666666666667,6002.0,0.0,0.0
5.333333333333333,6002.0,0.0,0.0
5.375,6002.0,0.0,0.0
5.416666666666667,6002.0,0.0,0.0
5.458333333333333,6002.0,0.0,0.0
5.5,6002.0,0.0,0.0
5.541666666666667,6002.0,0.0,0.0
5.583333333333333,6002.0,0.0,0.0
5.625,6002.0,0.0,0.0
5.666666666666667,6002.0,0.0,0.0
5.708333333333333,6002.0,0.0,0.0
5.75,6002.0,0.0,0.0
5.791666666666667,6002.0,0.0,0.0
5.833333333333333,6002.0,0.0,0.0
5.875,6002.0,0.0,0.0
5.916666666666667,6002.0,0.0,0.0
5.958333333333333,6002.0,0.0,0.0
6.0,6002.0,0.0,0.0
6.041666666666667,7002.0,0.0,0.0
6.083333333333333,7002.0,0.0,0.0
6.125,7002.0,0.0,0.0
6.166666666666667,7002.0,0.0,0.0
6.208333333333333,7002.0,0.0,0.0
6.25,7002.0,0.0,0.0
6.291666666666667,7002.0,0.0,0.0
6.333333333333333,7002.0,0.0,0.0
6.375,7002.0,0.0,0.0
6.416666666666667,7002.0,0.0,0.0
6.458333333333333,7002.0,0.0,0.0
6.5,7002.0,0.0,0.0
6.541666666666667,7002.0,0.0,0.0
6.583333333333333,7002.0,0.0,0.0
6.625,7002.0,0.0,0.0
6.666666666666667,7002.0,0.0,0.0
6.708333333333333,7002.0,0.0,0.0
6.75,7002.0,0.0,0.0
6.791666666666667,7002.0,0.0,0.0
6.833333333333333,7002.0,0.0,0.0
6.875,7002.0,0.0,0.0
6.916666666666667,7002.0,0.0,0.0
6.958333333333333,7002.0,0.0,0.0
7.0,7002.0,0.0,0.0
7.041666666666667,8002.0,0.0,0.0
7.083333333333333,8002.0,0.0,0.0
7.125,8002.0,0.0,0.0
7.166666666666667,8002.0,0.0,0.0
7.208333333333333,8002.0,0.0,0.0
7.25,8002.0,0.0,0.0
7.291666666666667,8002.0,0.0,0.0
7.333333333333333,8002.0,0.0,0.0
7.375,8002.0,0.0,0.0
7.416666666666667,8002.0,0.0,0.0
7.458333333333333,8002.0,0.0,0.0
7.5,8002.0,0.0,0.0
7.541666666666667,8002.0,0.0,0.0
7.583333333333333,8002.0,0.0,0.0
7.625,8002.0,0.0,0.0
7.666666666666667,8002.0,0.0,0.0
7.708333333333333,8002.0,0.0,0.0
7.75,8002.0,0.0,0.0
7.791666666666667,8002.0,0.0,0.0
7.833333333333333,8002.0,0.0,0.0
7.875,8002.0,0.0,0.0
7.916666666666667,8002.0,0.0,0.0
7.958333333333333,8002.0,0.0,0.0
8.0,8002.0,0.0,0.0
8.041666666666666,9002.0,0.0,0.0
8.083333333333334,9002.0,0.0,0.0
8.125,9002.0,0.0,0.0
8.166666666666666,9002.0,0.0,0.0
8.208333333333334,9002.0,0.0,0.0
8.25,9002.0,0.0,0.0
8.291666666666666,9002.0,0.0,0.0
8.333333333333334,9002.0,0.0,0.0
