time,ASkin,ARestBody,[ARestBody]
0.0,0.0,0.0,0.0
0.041666666666666664,855.473640008096,142.96573023807272,142.96573023807272
0.08333333333333333,731.8351498522235,262.27017031578794,262.27017031578794
0.125,626.0656623821402,361.3959336537562,361.3959336537562
0.16666666666666666,535.5827124312844,443.3208679746706,443.3208679746706
0.20833333333333334,458.1769909816297,510.5912475052002,510.5912475052002
0.25,391.95839341403143,565.3841908751355,565.3841908751355
0.2916666666666667,335.3101117901883,609.5607796733118,609.5607796733118
0.3333333333333333,286.84900389183156,644.7119151054958,644.7119151054958
0.375,245.39179089491844,672.1974270431621,672.1974270431621
0.4166666666666667,209.92623519853555,693.1794217326575,693.1794217326575
0.4583333333333333,179.58638325987127,708.6509255376828,708.6509255376828
0.5,153.6314356993911,719.460331299445,719.460331299445
0.5416666666666666,131.42765998578608,726.3323242436021,726.3323242436021
0.5833333333333334,112.43291267106471,729.8857882231677,729.8857882231677
0.625,96.18340582328281,730.6491151799005,730.6491151799005
0.6666666666666666,82.28237892839942,729.073309779763,729.073309779763
0.7083333333333334,70.39041509062837,725.543191404429,725.543191404429
0.75,60.21715214101988,720.3869821049333,720.3869821049333
0.7916666666666666,51.51419273059799,713.8845072189088,713.8845072189088
0.8333333333333334,44.06903943103009,706.2742099694295,706.2742099694295
0.875,37.69990626050947,697.759151978206,697.759151978206
0.9166666666666666,32.25128023224869,688.5121459571797,688.5121459571797
0.9583333333333334,27.590123695686163,678.6801469734302,678.6801469734302
1.0,23.60262655162624,668.3880074930686,668.3880074930686
1.0416666666666667,875.6616406020015,800.7114112152107,800.7114112152107
1.0833333333333333,749.1069249011845,909.1029033027651,909.1029033027651
1.125,640.8431406111124,997.1271860698415,997.1271860698415
1.1666666666666667,548.224982830475,1067.8285392732066,1067.8285392732066
1.2083333333333333,468.9917074678625,1123.8065982463752,1123.8065982463752
1.25,401.2098143222183,1167.2826716295003,1167.2826716295003
1.2916666666666667,343.22317200101935,1200.1574451332062,1200.1574451332062
1.3333333333333333,293.6182230263484,1224.051239585677,1224.051239585677
1.375,251.1829619672538,1240.3514712839974,1240.3514712839974
1.4166666666666667,214.88019126075272,1250.2435928505452,1250.2435928505452
1.4583333333333333,183.82395241849267,1254.7383596019733,1254.7383596019733
1.5,157.25646398418024,1254.6985092044383,1254.6985092044383
1.5416666666666667,134.52901449849827,1250.8608649929442,1250.8608649929442
1.5833333333333333,115.08631252594208,1243.8544391374958,1243.8544391374958
1.625,98.4534681548301,1234.2154910400723,1234.2154910400723
1.6666666666666667,84.22446069788555,1222.4008660610511,1222.4008660610511
1.7083333333333333,72.05194628226434,1208.7997838402816,1208.7997838402816
1.75,61.638688778034265,1193.7437482850937,1193.7437482850937
1.7916666666666667,52.730385741566586,1177.5148434620198,1177.5148434620198
1.8333333333333333,45.10953493793441,1160.3528255123047,1160.3528255123047
1.875,38.59008968876415,1142.4613018755772,1142.4613018755772
1.9166666666666667,33.01287294990175,1124.013032650004,1124.013032650004
1.9583333333333333,28.24169951661987,1105.1544126554227,1105.1544126554227
2.0,24.160072702329852,1086.009288855353,1086.009288855353
2.0416666666666665,876.1379894097549,1209.6526448687168,1209.6526448687168
2.0833333333333335,749.5151066781773,1309.533153189106,1309.533153189106
2.125,641.1914574577407,1389.2170317143734,1389.2170317143734
2.1666666666666665,548.5220887549032,1451.744374438963,1451.744374438963
2.2083333333333335,469.24591017493015,1499.7115187860243,1499.7115187860243
2.25,401.42475538493767,1535.3415485890614,1535.3415485890614
2.2916666666666665,343.4082606444019,1560.524929400892,1560.524929400892
2.3333333333333335,293.7770632175363,1576.88522651818,1576.88522651818
