time,ASkin,APlasma,[APlasma]
0.0,0.0,0.0,0.0
0.041666666666666664,51.640142517281234,619.6499065220786,619.6499065220786
0.08333333333333333,51.610302799239925,619.3235505205166,619.3235505205166
0.125,51.61019055914062,619.3223154521203,619.3223154521203
0.16666666666666666,51.61020937985382,619.3225137616438,619.3225137616438
0.20833333333333334,51.61020209135909,619.3224265237693,619.3224265237693
0.25,51.61019011047793,619.3222879668949,619.3222879668949
0.2916666666666667,51.61019210589713,619.3223022639608,619.3223022639608
0.3333333333333333,51.610183812538665,619.3222040362465,619.3222040362465
0.375,51.610176407523795,619.3221155240336,619.3221155240336
0.4166666666666667,51.61016936663321,619.3220309941231,619.3220309941231
0.4583333333333333,51.61016320739463,619.3219561065347,619.3219561065347
0.5,51.610156810095184,619.3218786153589,619.3218786153589
0.5416666666666666,51.61014987781738,619.3217952733127,619.3217952733127
0.5833333333333334,51.61014192579295,619.3217007786553,619.3217007786553
0.625,51.61013420985461,619.3216088659883,619.3216088659883
0.6666666666666666,51.61012667575162,619.3215189419898,619.3215189419898
0.7083333333333334,51.61011938184886,619.3214316449804,619.3214316449804
0.75,51.61011230124964,619.321346680801,619.321346680801
0.7916666666666666,51.610104739279755,619.3212564520323,619.3212564520323
0.8333333333333334,51.610097216135,619.3211666478819,619.3211666478819
0.875,51.610089937001234,619.3210795123985,619.3210795123985
0.9166666666666666,51.61008310706427,619.3209972896306,619.3209972896306
0.9583333333333334,51.610076867028326,619.3209215184132,619.3209215184132
1.0,51.61006960772011,619.3208345997577,619.3208345997577
1.0416666666666667,103.250136131279,1238.9698970530778,1238.9698970530778
1.0833333333333333,103.22033145044436,1238.6439245867798,1238.6439245867798
1.125,103.22026009193324,1238.643128598161,1238.643128598161
1.1666666666666667,103.22025705801934,1238.643080416544,1238.643080416544
1.2083333333333333,103.22024037288969,1238.6428828536684,1238.6428828536684
1.25,103.2202261606273,1238.6427123658023,1238.6427123658023
1.2916666666666667,103.22021169311742,1238.6425390901354,1238.6425390901354
1.3333333333333333,103.22019781526943,1238.642372258826,1238.642372258826
1.375,103.22018398571217,1238.6422059551667,1238.6422059551667
1.4166666666666667,103.22016974755469,1238.6420351861736,1238.6420351861736
1.4583333333333333,103.22015566770806,1238.6418661471491,1238.6418661471491
1.5,103.22014174617225,1238.6416988380936,1238.6416988380936
1.5416666666666667,103.22012760708843,1238.6415291515245,1238.6415291515245
1.5833333333333333,103.22011345632133,1238.641359337276,1238.641359337276
1.625,103.22009930555423,1238.6411895230276,1238.6411895230276
1.6666666666666667,103.22008515478713,1238.6410197087791,1238.6410197087791
1.7083333333333333,103.22007100402003,1238.6408498945307,1238.6408498945307
1.75,103.22005685325293,1238.6406800802822,1238.6406800802822
1.7916666666666667,103.22004270248583,1238.6405102660335,1238.6405102660335
1.8333333333333333,103.22002855171873,1238.640340451785,1238.640340451785
1.875,103.22001440095163,1238.6401706375366,1238.6401706375366
1.9166666666666667,103.22000024844641,1238.6400008042879,1238.6400008042879
1.9583333333333333,103.21998609302837,1238.6398309391966,1238.6398309391966
2.0,103.21997193761031,1238.6396610741053,1238.6396610741053
2.0416666666666665,154.86022146319328,1858.2907307019307,1858.2907307019307
2.0833333333333335,154.83037142773517,1857.9642271586238,1857.9642271586238
2.125,154.8301578415253,1857.9618826349906,1857.9618826349906
2.1666666666666665,154.8301337213012,1857.9615959814255,1857.9615959814255
2.2083333333333335,154.8300582218017,1857.960748012607,1857.960748012607
2.25,154.8300886462038,1857.9610579727218,1857.9610579727218
2.2916666666666665,154.830060518296,1857.9607277254631,1857.9607277254631
2.3333333333333335,154.83004073476567,1857.9604887751107,1857.9604887751107
2.375,154.83002084583944,1857.9602486787178,1857.9602486787178
2.4166666666666665,154.83000031956425,1857.9600016096201,1857.9600016096201
2.4583333333333335,154.8299798821808,1857.9597555114708,1857.9597555114708
2.5,154.82995880812732,1857.9595024534553,1857.9595024534553
2.5416666666666665,154.82993770104366,1857.9592490342518,1857.9592490342518
2.5833333333333335,154.829916521242,1857.9589948197856,1857.9589948197856
2.625,154.82989526305303,1857.9587397480498,1857.9587397480498
2.6666666666666665,154.8298739264767,1857.9584838190444,1857.9584838190444
2.7083333333333335,154.82985298685125,1857.9582322312415,1857.9582322312415
2.75,154.82983204447248,1857.9579806133302,1857.9579806133302
2.7916666666666665,154.82981107000282,1857.957728644464,1857.957728644464
2.8333333333333335,154.82979006344226,1857.957476324643,1857.957476324643
2.875,154.8297690247908,1857.9572236538675,1857.9572236538675
2.9166666666666665,154.82974795404849,1857.9569706321372,1857.9569706321372
2.9583333333333335,154.82972685121527,1857.9567172594523,1857.9567172594523
3.0,154.82970571629116,1857.9564635358126,1857.9564635358126
3.0416666666666665,206.46990946673972,2477.6070114225367,2477.6070114225367
3.0833333333333335,206.43995538275996,2477.2793898436576,2477.2793898436576
3.125,206.4397990996349,2477.277650455767,2477.277650455767
3.1666666666666665,206.43984329909867,2477.2781037264062,2477.2781037264062
3.2083333333333335,206.43982000118717,2477.2778188215584,2477.2778188215584
3.25,206.43977580234213,2477.2773053286205,2477.2773053286205
3.2916666666666665,206.43974563646913,2477.276945310442,2477.276945310442
3.3333333333333335,206.43971496499006,2477.276579762617,2477.276579762617
3.375,206.43969001118307,2477.2762767472373,2477.2762767472373
3.4166666666666665,206.43966196300704,2477.2759398897015,2477.2759398897015
3.4583333333333335,206.43963413061462,2477.2756053921375,2477.2756053921375
3.5,206.4396059950769,2477.275267579162,2477.275267579162
3.5416666666666665,206.4395777354376,2477.274928408927,2477.274928408927
3.5833333333333335,206.43954941335298,2477.2745885557492,2477.2745885557492
3.625,206.43952106740966,2477.274248441667,2477.274248441667
3.6666666666666665,206.4394927557996,2477.273908703114,2477.273908703114
3.7083333333333335,206.4394644441895,2477.2735689645615,2477.2735689645615
3.75,206.43943613257943,2477.2732292260084,2477.2732292260084
3.7916666666666665,206.43940782096936,2477.2728894874554,2477.2728894874554
3.8333333333333335,206.43937950935927,2477.2725497489027,2477.2725497489027
3.875,206.4393511977492,2477.2722100103497,2477.2722100103497
3.9166666666666665,206.4393228861391,2477.2718702717966,2477.2718702717966
3.9583333333333335,206.43929457452904,2477.2715305332435,2477.2715305332435
4.0,206.43926626291898,2477.271190794691,2477.271190794691
4.041666666666667,258.07945323544374,3096.9215543243085,3096.9215543243085
4.083333333333333,258.0494220156216,3096.5930747739976,3096.5930747739976
4.125,258.04942298513384,3096.593047822381,3096.593047822381
4.166666666666667,258.0493481647131,3096.5921919178536,3096.5921919178536
4.208333333333333,258.0493175156459,3096.5918190882217,3096.5918190882217
4.25,258.0492825075224,3096.5913985870743,3096.5913985870743
4.291666666666667,258.04924821861886,3096.590985949839,3096.590985949839
