time,ASkin,AArterialBlood,[AArterialBlood]
0.0,0.0,0.0,0.0
0.041666666666666664,976.3132936431093,3.606993242334836,2.404662161556557
0.08333333333333333,953.4346210933171,3.6105295985394337,2.4070197323596223
0.125,931.1259756711514,3.610497540505155,2.40699836033677
0.16666666666666666,909.3729597834325,3.610438256199639,2.406958837466426
0.20833333333333334,888.1617325264235,3.6103883799789247,2.4069255866526165
0.25,867.478800237019,3.6103403265871097,2.406893551058073
0.2916666666666667,847.3110051097216,3.610290234049142,2.4068601560327614
0.3333333333333333,827.6455163583137,3.610243659886674,2.406829106591116
0.375,808.4698226651735,3.6101976239769873,2.406798415984658
0.4166666666666667,789.7717244087363,3.610152471659858,2.4067683144399052
0.4583333333333333,771.5393273493618,3.6101082748982973,2.406738849932198
0.5,753.761024947807,3.610065036407246,2.4067100242714976
0.5416666666666666,736.4255114274579,3.610022591014042,2.406681727342695
0.5833333333333334,719.5217496460313,3.6099809743480926,2.4066539828987286
0.625,703.0389966864457,3.6099401460153757,2.4066267640102503
0.6666666666666666,686.9667656073501,3.609900075364478,2.4066000502429854
0.7083333333333334,671.2948346397036,3.6098608087076753,2.4065738724717836
0.75,656.0132388947226,3.609822295339578,2.406548196893052
0.7916666666666666,641.1122511011306,3.609784522840385,2.4065230152269232
0.8333333333333334,626.5823985113858,3.609747470194659,2.4064983134631057
0.875,612.4144289450063,3.6097111100288477,2.406474073352565
0.9166666666666666,598.59933651638,3.609675425519201,2.4064502836794675
0.9583333333333334,585.1283230218928,3.6096404035650376,2.406426935710025
1.0,571.9928173482622,3.6096060257667952,2.4064040171778633
1.0416666666666667,1535.4977890824302,7.216562895191966,4.811041930127977
1.0833333333333333,1500.129802142627,7.220064467563229,4.8133763117088195
1.125,1465.64290494995,7.219990888670444,4.813327259113629
1.1666666666666667,1432.0149507404913,7.219912305852322,4.813274870568215
1.2083333333333333,1399.2245461087605,7.219829983648438,4.813219989098958
1.25,1367.250862846136,7.219752283097991,4.813168188731994
1.2916666666666667,1336.0735704795118,7.219673044966135,4.813115363310756
1.3333333333333333,1305.6728020821065,7.219595774347489,4.813063849564993
1.375,1276.029202729786,7.219520656061788,4.813013770707859
1.4166666666666667,1247.1239108084683,7.219446892144286,4.812964594762858
1.4583333333333333,1218.9385938440012,7.219374433306267,4.812916288870844
1.5,1191.4552782232226,7.219303341186659,4.812868894124439
1.5416666666666667,1164.6565074660925,7.219233573110772,4.812822382073848
1.5833333333333333,1138.5251159751224,7.2191650961524685,4.812776730768312
1.625,1113.0445022226554,7.2190978615001,4.812731907666733
1.6666666666666667,1088.1984746114535,7.21903184826984,4.81268789884656
1.7083333333333333,1063.9712066845984,7.2189670236947,4.812644682463133
1.75,1040.347310341046,7.2189033609825355,4.812602240655024
1.7916666666666667,1017.3118122618929,7.218840831923737,4.812560554615825
1.8333333333333333,994.8499736579118,7.21877940516807,4.81251960344538
1.875,972.9476425876501,7.218719054244077,4.812479369496051
1.9166666666666667,951.5907726891676,7.218659752469004,4.812439834979336
1.9583333333333333,930.7658527488823,7.218601473434015,4.812400982289343
2.0,910.4596354538456,7.218544191697623,4.8123627944650815
2.0416666666666665,1866.972529009767,10.825437411546352,7.216958274364234
2.0833333333333335,1824.7866019891003,10.828995045497447,7.219330030331631
2.125,1783.6515798759679,10.828865343785244,7.219243562523496
2.1666666666666665,1743.541084002979,10.828762394015566,7.219174929343711
2.2083333333333335,1704.4296180372855,10.828658442508578,7.219105628339052
2.25,1666.2924094997954,10.82855721886577,7.219038145910513
2.2916666666666665,1629.1051254782506,10.828459128695869,7.2189727524639125
2.3333333333333335,1592.844047097333,10.828362507582483,7.218908338388322
2.375,1557.4860869851977,10.828267208873337,7.218844805915558
2.4166666666666665,1523.008755836878,10.828173532171808,7.218782354781205
2.4583333333333335,1489.3903340639827,10.828081498278168,7.218720998852112
2.5,1456.6090813469534,10.82799113356362,7.21866075570908
2.5416666666666665,1424.6444057229548,10.82790233112173,7.218601554081154
2.5833333333333335,1393.4756315437558,10.827815046456225,7.21854336430415
2.625,1363.0831149782077,10.827729257481982,7.2184861716546544
2.6666666666666665,1333.447424577631,10.827644908345324,7.2184299388968824
2.7083333333333335,1304.549791684462,10.827561986502921,7.2183746576686145
2.75,1276.3717807478788,10.827480447683696,7.218320298455797
2.7916666666666665,1248.8954353554336,10.82740025532799,7.218266836885327
2.8333333333333335,1222.1034545072,10.827321388276491,7.2182142588509945
2.875,1195.9787306556843,10.827243808597997,7.2181625390653315
2.9166666666666665,1170.504497760111,10.827167471723548,7.218111647815699
2.9583333333333335,1145.6648315213674,10.827092358805073,7.218061572536715
3.0,1121.4439165969748,10.827018438599575,7.218012292399717
3.0416666666666665,2074.1397952455463,14.433865506605896,9.622577004403931
3.0833333333333335,2028.231916245282,14.437414853918417,9.624943235945612
3.125,1983.4676368968123,14.437303666150687,9.624869110767124
3.1666666666666665,1939.81826821461,14.437172641226796,9.624781760817864
3.2083333333333335,1897.2560400450934,14.437052832550936,9.62470188836729
3.25,1855.7538774212803,14.436936715241396,9.624624476827597
3.2916666666666665,1815.2854725923557,14.436820968011904,9.624547312007936
3.3333333333333335,1775.825289631683,14.436706574286823,9.62447104952455
3.375,1737.3480444744876,14.436597842190277,9.624398561460184
3.4166666666666665,1699.829083976365,14.436490446240612,9.624326964160408
3.4583333333333335,1663.2449098077639,14.436384124087992,9.624256082725328
3.5,1627.5716374489862,14.436279127855446,9.624186085236964
3.5416666666666665,1592.7869541746009,14.436175759136365,9.624117172757577
3.5833333333333335,1558.8685971683924,14.436073993540584,9.624049329027056
3.625,1525.7948790324053,14.435973931943407,9.623982621295605
3.6666666666666665,1493.5456004739142,14.435875439823123,9.623916959882083
3.7083333333333335,1462.0994433725114,14.43577851132848,9.623852340885653
3.75,1431.4362400236566,14.435683104473423,9.623788736315616
3.7916666666666665,1401.537220821058,14.43558915772199,9.623726105147993
3.8333333333333335,1372.382329273331,14.435496626697365,9.623664417798244
3.875,1343.9533984231105,14.435405490231377,9.62360366015425
3.9166666666666665,1316.2324209269607,14.435315719166894,9.62354381277793
3.9583333333333335,1289.201500140404,14.435227274504962,9.623484849669975
4.0,1262.8436464004508,14.43514012407235,9.623426749381567
4.041666666666667,2213.45553043502,18.042015948403456,12.028010632268971
4.083333333333333,2165.5155598493006,18.0455667144105,12.030377809607002
4.125,2118.76980448481,18.045341398533008,12.030227599022005
4.166666666666667,2073.1882985409047,18.04526286108985,12.030175240726566
4.208333333333333,2028.7420575744802,18.045102853888725,12.03006856925915
4.25,1985.4028269497512,18.044988575722893,12.029992383815262
4.291666666666667,1943.143074842275,18.044858752721197,12.029905835147465
4.333333333333333,1901.9358770711221,18.044729432130843,12.029819621420563
4.375,1861.7549908969866,18.04460622854593,12.029737485697288
4.416666666666667,1822.5751644118639,18.04448523528321,12.02965682352214
4.458333333333333,1784.3711682194278,18.044366489140938,12.029577659427291
4.5,1747.1187708918599,18.044249341047394,12.029499560698262
4.541666666666667,1710.7943141691997,18.044133937266356,12.029422624844237
4.583333333333333,1675.3743817420343,18.04402022954128,12.029346819694188
4.625,1640.836688166289,18.043908230948734,12.029272153965822
4.666666666666667,1607.159812944471,18.043797887350358,12.029198591566905
4.708333333333333,1574.3223741330971,18.04368915866409,12.02912610577606
4.75,1542.3023370372098,18.043582013062846,12.02905467537523
4.791666666666667,1511.0803743860038,18.043476403160962,12.028984268773975
4.833333333333333,1480.636684048442,18.04337228530792,12.028914856871948
4.875,1450.9503579994407,18.04326962317482,12.028846415449879
4.916666666666667,1422.002980168366,18.043168381688673,12.028778921125783
4.958333333333333,1393.7768107237944,18.04306852735365,12.0287123515691
5.0,1366.2529795171251,18.042970023232016,12.028646682154678
5.041666666666667,2315.726996162827,21.649800492859047,14.433200328572697
5.083333333333333,2266.6774934692303,21.653331762301868,14.435554508201244
5.125,2218.8498331381693,21.653153643009958,14.43543576200664
5.166666666666667,2172.213370608643,21.653026115806192,14.435350743870794
5.208333333333333,2126.7384407588206,21.652882682325938,14.435255121550625
5.25,2082.3961124013867,21.652744622836217,14.435163081890812
5.291666666666667,2039.1581736875114,21.65260824888139,14.435072165920927
5.333333333333333,1996.9971153890424,21.652473522335995,14.434982348223997
5.375,1955.8861211929361,21.652337768587817,14.434891845725211
5.416666666666667,1915.7990394775272,21.652204833917978,14.434803222611984
5.458333333333333,1876.7103668553882,21.6520748019399,14.4347165346266
5.5,1838.5952113440508,21.651946569732544,14.434631046488363
5.541666666666667,1801.4293570719883,21.651820648431194,14.434547098954129
5.583333333333333,1765.1889872238507,21.651695609517546,14.434463739678364
5.625,1729.8511477326979,21.651572363821817,14.434381575881211
5.666666666666667,1695.3934981636885,21.651451924213855,14.434301282809237
5.708333333333333,1661.7938717212223,21.651332651538,14.434221767692
5.75,1629.03091286504,21.65121442614456,14.43414295076304
5.791666666666667,1597.0840629546374,21.651098553969987,14.434065702646658
