time,ABlood,[ABlood]
0.0,0.0,0.0
0.041666666666666664,0.0036204339542478515,0.0007638046316978589
0.08333333333333333,0.0014006329880473039,0.0002954921915711611
0.125,0.0005676514891853795,0.00011975769814037541
0.16666666666666666,0.0002600918045831823,5.487168873062918e-05
0.20833333333333334,0.0001419235442961455,2.994167601184504e-05
0.25,9.249271429746114e-05,1.9513230864443276e-05
0.2916666666666667,6.863180640673406e-05,1.4479284052053598e-05
0.3333333333333333,5.480864347523109e-05,1.1563004952580398e-05
0.375,4.535407364851278e-05,9.56836996804067e-06
0.4166666666666667,3.813136314352397e-05,8.04459138049029e-06
0.4583333333333333,3.227884595390297e-05,6.809883112637757e-06
0.5,2.740384648539267e-05,5.781402212108158e-06
0.5416666666666666,2.329343150153372e-05,4.91422605517589e-06
0.5833333333333334,1.9809673816736124e-05,4.179256079480194e-06
0.625,1.6850576890857468e-05,3.5549740276070606e-06
0.6666666666666666,1.4334750579677704e-05,3.024208983054368e-06
0.7083333333333334,1.2195021285928528e-05,2.5727893008288034e-06
0.75,1.0374839522615127e-05,2.1887847094124737e-06
0.7916666666666666,8.826374902171177e-06,1.8621044097407544e-06
0.8333333333333334,7.5090586003070016e-06,1.58418957812384e-06
0.875,6.388350415535465e-06,1.347753252222672e-06
0.9166666666666666,5.4349091542495006e-06,1.1466053068036921e-06
0.9583333333333334,4.6237687750431474e-06,9.754786445238707e-07
1.0,3.933686729946603e-06,8.298917151786082e-07
1.0416666666666667,0.0036237816120898068,0.0007645108886265415
1.0833333333333333,0.001403480344040166,0.0002960928995865329
1.125,0.0005700737632819323,0.0001202687264307874
1.1666666666666667,0.00026215253242956656,5.530644144083682e-05
1.2083333333333333,0.00014367670569236001,3.031154128530802e-05
1.25,9.398421914594382e-05,1.9827894334587305e-05
1.2916666666666667,6.990076844345543e-05,1.4746997561910427e-05
1.3333333333333333,5.5888118217006406e-05,1.1790742239874769e-05
1.375,4.627243427036016e-05,9.762116934675138e-06
1.4166666666666667,3.891272968691944e-05,8.209436642810007e-06
1.4583333333333333,3.294358634394601e-05,6.950123701254433e-06
1.5,2.7969345346187678e-05,5.900705769237906e-06
1.5416666666666667,2.377454182121281e-05,5.015726122618736e-06
1.5833333333333333,2.0218996144832723e-05,4.265611001019562e-06
1.625,1.7198780900994154e-05,3.628434789239273e-06
1.6666666666666667,1.4631026049264331e-05,3.08671435638488e-06
1.7083333333333333,1.244705782970078e-05,2.625961567447422e-06
1.75,1.0589249360895986e-05,2.2340188525097016e-06
1.7916666666666667,9.008798980583414e-06,1.9005905022327879e-06
1.8333333333333333,7.664248253104934e-06,1.6169300112035724e-06
1.875,6.520381296251324e-06,1.3756078684074522e-06
1.9166666666666667,5.547235275556712e-06,1.1703028007503611e-06
1.9583333333333333,4.719329099551518e-06,9.95639050538295e-07
2.0,4.014986042224643e-06,8.470434688237643e-07
2.0416666666666665,0.003623851741516813,0.0007645256838643066
2.0833333333333335,0.0014035391641933532,0.0002961053089015513
2.125,0.0005701238225978508,0.00012027928746790101
2.1666666666666665,0.0002621951217135684,5.5315426521849864e-05
2.2083333333333335,0.00014371293780800093,3.0319185191561375e-05
2.25,9.401504135860476e-05,1.983439691109805e-05
2.2916666666666665,6.992693297546795e-05,1.4752517505372985e-05
2.3333333333333335,5.591042454540879e-05,1.1795448216330968e-05
2.375,4.629145797676407e-05,9.76613037484474e-06
2.4166666666666665,3.89288494521493e-05,8.212837437162298e-06
2.4583333333333335,3.2957309550219045e-05,6.953018892451275e-06
2.5,2.7981054012390635e-05,5.903175951981146e-06
2.5416666666666665,2.378449118616231e-05,5.01782514475998e-06
2.5833333333333335,2.0227443196496915e-05,4.267393079429729e-06
2.625,1.7205998492984856e-05,3.6299574879714884e-06
2.6666666666666665,1.4637126693665918e-05,3.0880014121658054e-06
2.7083333333333335,1.2452263579277259e-05,2.6270598268517424e-06
2.75,1.0593691746943587e-05,2.234956064756031e-06
2.7916666666666665,9.01256448225814e-06,1.9013849118688058e-06
2.8333333333333335,7.667459038888708e-06,1.6176073921706133e-06
2.875,6.523111089442167e-06,1.3761837741439169e-06
2.9166666666666665,5.54955697003198e-06,1.1707926097113883e-06
2.9583333333333335,4.7213058196703224e-06,9.960560800992242e-07
3.0,4.016666814641425e-06,8.473980621606382e-07
3.0416666666666665,0.0036238520274939957,0.0007645257441970455
3.0833333333333335,0.001403540397173677,0.00029610556902398246
3.125,0.0005701248613312153,0.00012027950660996103
3.1666666666666665,0.0002621960025201927,5.5315612346032206e-05
3.2083333333333335,0.00014371368808069917,3.0319343476940753e-05
3.25,9.401569332190931e-05,1.983453445609901e-05
3.2916666666666665,6.992754484376266e-05,1.4752646591511109e-05
3.3333333333333335,5.591092567857011e-05,1.1795553940626606e-05
3.375,4.629182818751729e-05,9.766208478379175e-06
3.4166666666666665,3.892917712157596e-05,8.212906565733324e-06
3.4583333333333335,3.295761710854827e-05,6.953083778174741e-06
3.5,2.7981283002792345e-05,5.903224262192478e-06
3.5416666666666665,2.378470855041926e-05,5.017871002198156e-06
3.5833333333333335,2.0227638807684675e-05,4.2674343476128006e-06
3.625,1.7206125084135362e-05,3.629984194965266e-06
3.6666666666666665,1.4637238782995618e-05,3.088025059703717e-06
3.7083333333333335,1.24523694016576e-05,2.627082152248439e-06
3.75,1.0593823273223338e-05,2.234983812916316e-06
