time,APlasma
0.0,0.0
0.041666666666666664,0.0
0.08333333333333333,0.0
0.125,0.0
0.16666666666666666,0.0
0.20833333333333331,0.0
0.25,0.0
0.29166666666666663,0.0
0.3333333333333333,0.0
0.375,0.0
0.41666666666666663,0.0
0.4583333333333333,0.0
0.5,0.0
0.5416666666666666,0.0
0.5833333333333333,0.0
0.625,0.0
0.6666666666666666,0.0
0.7083333333333333,0.0
0.75,0.0
0.7916666666666666,0.0
0.8333333333333333,0.0
0.875,0.0
0.9166666666666666,0.0
0.9583333333333333,0.0
1.0,0.0
1.0416666666666665,0.0014375173350617888
1.0833333333333333,0.003074626482968159
1.125,0.004190173896591682
1.1666666666666665,0.004905200187654496
1.2083333333333333,0.005354119304057024
1.25,0.005629589879265111
1.2916666666666665,0.0057923789284019525
1.3333333333333333,0.005882036241695816
1.375,0.005924284132147702
1.4166666666666665,0.005935849930544037
1.4583333333333333,0.005927609734945251
1.5,0.005906634690821425
1.5416666666666665,0.005877521838736283
1.5833333333333333,0.005843259256795207
1.625,0.005805788738684182
1.6666666666666665,0.005766371726019379
1.7083333333333333,0.005725827234908988
1.75,0.005684686589701595
1.7916666666666665,0.005643294033278072
1.8333333333333333,0.0056018721544268376
1.875,0.005560564587202708
1.9166666666666665,0.005519463386649132
1.9583333333333333,0.005478627239621203
2.0,0.005438093098660771
2.0416666666666665,0.005397883806096282
2.083333333333333,0.005358013028582163
2.125,0.0053184884712131585
2.1666666666666665,0.005279314044706087
2.208333333333333,0.0052404911145179645
2.25,0.005202019403037223
2.2916666666666665,0.005163897620080699
2.333333333333333,0.005126123815553833
2.375,0.005088695605858039
2.4166666666666665,0.005051610341325227
2.458333333333333,0.005014865222906066
2.5,0.004978457359728962
2.5416666666666665,0.004942383802966329
2.583333333333333,0.0049066415716987975
2.625,0.004871227676072011
2.6666666666666665,0.0048361391196088
2.708333333333333,0.00480137293451429
2.75,0.00476692622551806
2.7916666666666665,0.004732796029864045
2.833333333333333,0.004698979498640069
2.875,0.004665473729215564
2.9166666666666665,0.004632275860037334
2.958333333333333,0.004599383060762239
3.0,0.00456679251689142
3.0416666666666665,0.00453450148208277
3.083333333333333,0.004502507176045277
3.125,0.004470806846289518
3.1666666666666665,0.004439397816324786
3.208333333333333,0.0044082774101031575
3.25,0.004377442976416714
3.2916666666666665,0.004346891896495849
3.333333333333333,0.004316621569446114
3.375,0.004286629390174264
3.4166666666666665,0.00425691282289838
3.458333333333333,0.004227469348998429
3.5,0.0041982964791205885
3.5416666666666665,0.004169391686285801
3.583333333333333,0.004140752522508909
3.625,0.004112376545930118
3.6666666666666665,0.004084261330924343
3.708333333333333,0.004056404476538825
3.75,0.004028803605463439
3.7916666666666665,0.004001456371089088
3.833333333333333,0.003974360438723895
3.875,0.00394751349977876
3.9166666666666665,0.0039209132682648295
3.958333333333333,0.003894557480700262
4.0,0.0038684438884699734
