time,APlasma,[APlasma]
0.0,0.0,0.0
0.041666666666666664,1.81239867342495e-09,7.057627232963201e-10
0.08333333333333333,3.8165197885099645e-09,1.48618371826712e-09
0.125,5.150748042977243e-09,2.005743007389892e-09
0.16666666666666666,5.988657813141058e-09,2.332031858699789e-09
0.20833333333333331,6.503563089268761e-09,2.532540143796247e-09
0.25,6.8116402679268364e-09,2.652507892494874e-09
0.29166666666666663,6.987640429477259e-09,2.7210437809490887e-09
0.3333333333333333,7.0793882902529e-09,2.7567711410642132e-09
0.375,7.117463776545974e-09,2.7715980438263135e-09
0.41666666666666663,7.121418300082463e-09,2.7731379673218316e-09
0.4583333333333333,7.103751094329204e-09,2.7662582143026494e-09
0.5,7.072452137127735e-09,2.7540701468565944e-09
0.5416666666666666,7.032628200672132e-09,2.7385623834393036e-09
0.5833333333333333,6.987542698593575e-09,2.721005723751392e-09
0.625,6.939280390306882e-09,2.7022119899948912e-09
0.6666666666666666,6.889172465402426e-09,2.6826995581785143e-09
0.7083333333333333,6.838068286201952e-09,2.662799176869919e-09
0.75,6.786509165356033e-09,2.6427216375997014e-09
0.7916666666666666,6.734839423383838e-09,2.622601021566915e-09
0.8333333333333333,6.6832776464838945e-09,2.6025224480077473e-09
0.875,6.631961770946696e-09,2.5825396304309564e-09
0.9166666666666666,6.580978317357259e-09,2.5626862606531384e-09
0.9583333333333333,6.5303809356033005e-09,2.542983230375117e-09
1.0,6.480202270475476e-09,2.5234432517427868e-09
1.0416666666666665,8.242817545438587e-09,3.209819916448048e-09
1.0833333333333333,1.0197654274217889e-08,3.971049172203228e-09
1.125,1.1483072823439749e-08,4.471601566760027e-09
1.1666666666666665,1.2272609457218462e-08,4.779053526954229e-09
1.2083333333333333,1.2739579308502563e-08,4.960895369354581e-09
1.25,1.3000187402377341e-08,5.062378271953793e-09
1.2916666666666665,1.312916430378566e-08,5.1126029220349144e-09
1.3333333333333333,1.3174334810833353e-08,5.130192683346321e-09
1.375,1.3166277163956415e-08,5.127054970388012e-09
1.4166666666666665,1.312453855067398e-08,5.1108016163060665e-09
1.4583333333333333,1.3061613975133856e-08,5.086298276921284e-09
1.5,1.2985489431944753e-08,5.056654763218361e-09
1.5416666666666665,1.2901267783693063e-08,5.02385817122004e-09
1.5833333333333333,1.2812208400584909e-08,4.989177726084466e-09
1.625,1.2720392043573133e-08,4.953423692980192e-09
1.6666666666666665,1.2627145911922635e-08,4.91711289405087e-09
1.7083333333333333,1.2533315299656326e-08,4.880574493635641e-09
1.75,1.2439437783124679e-08,4.844017828319579e-09
1.7916666666666665,1.2345853869688896e-08,4.80757549442714e-09
1.8333333333333333,1.2252778080622054e-08,4.771331028279616e-09
1.875,1.2160344592856817e-08,4.735336679461377e-09
1.9166666666666665,1.2068636136830546e-08,4.699624663874823e-09
1.9583333333333333,1.1977702606085598e-08,4.66421441046947e-09
2.0,1.1887572886761647e-08,4.629117167742074e-09
2.0416666666666665,1.3610590831067068e-08,5.300074311163189e-09
2.083333333333333,1.552631641683971e-08,6.046073371043501e-09
2.125,1.6772908794283323e-08,6.531506539829953e-09
2.1666666666666665,1.7523981926884427e-08,6.823980501123219e-09
2.208333333333333,1.795285241083564e-08,6.990986141291137e-09
2.25,1.8175737319138743e-08,7.077779329882688e-09
2.2916666666666665,1.8267357591706104e-08,7.113457006116084e-09
2.333333333333333,1.8275529674111866e-08,7.1166392811962095e-09
2.375,1.823082636813396e-08,7.0992314517655605e-09
2.4166666666666665,1.8152791694608727e-08,7.068844117838289e-09
2.458333333333333,1.8053917648748e-08,7.0303417635311525e-09
2.5,1.794218697016118e-08,6.986832932305755e-09
2.5416666666666665,1.7822699182998156e-08,6.940303420170621e-09
2.583333333333333,1.7698710417742133e-08,6.892021190709552e-09
2.625,1.7572298169913306e-08,6.842795237505182e-09
2.6666666666666665,1.7444786337829664e-08,6.793141097285695e-09
2.708333333333333,1.731701758054329e-08,6.743386908311251e-09
2.75,1.718952592397931e-08,6.6937406246025355e-09
2.7916666666666665,1.7062648800657608e-08,6.644333645115892e-09
2.833333333333333,1.6936597705610346e-08,6.595248327729886e-09
2.875,1.681150377739996e-08,6.546535738862911e-09
2.9166666666666665,1.6687446666099297e-08,6.49822689489848e-09
2.958333333333333,1.656447336955051e-08,6.45034009717699e-09
3.0,1.644260999451972e-08,6.402885511884626e-09
3.0416666666666665,1.8134186633599863e-08,7.061599156386239e-09
3.083333333333333,2.001874982682633e-08,7.7954633282034e-09
3.125,2.1234563355843614e-08,8.268910964113556e-09
3.1666666666666665,2.1955063440280586e-08,8.549479532819542e-09
3.208333333333333,2.235370542297024e-08,8.704713949754767e-09
3.25,2.2546637332070294e-08,8.779843197846686e-09
3.2916666666666665,2.2608586221687744e-08,8.80396659723043e-09
3.333333333333333,2.2587368627474977e-08,8.795704294188075e-09
3.375,2.25135560833875e-08,8.766961091661799e-09
3.4166666666666665,2.240668999656886e-08,8.725346571872608e-09
3.458333333333333,2.2279260131436965e-08,8.675724350248038e-09
3.5,2.2139246658600045e-08,8.62120196985983e-09
3.5416666666666665,2.1991746308659287e-08,8.563764138886014e-09
3.583333333333333,2.184001252686947e-08,8.504677775260698e-09
3.625,2.1686120279435767e-08,8.44475088763075e-09
3.6666666666666665,2.153139102839327e-08,8.384498064016071e-09
3.708333333333333,2.1376664481301682e-08,8.324246293341776e-09
3.75,2.122247229916231e-08,8.264202608708065e-09
3.7916666666666665,2.1069149747600765e-08,8.204497565265096e-09
3.833333333333333,2.091690580519013e-08,8.145212540961887e-09
3.875,2.0765869136543743e-08,8.086397638841021e-09
3.9166666666666665,2.061611710595332e-08,8.028082985184314e-09
3.958333333333333,2.0467694253068752e-08,7.970285924092194e-09
4.0,2.032062420436548e-08,7.91301565590556e-09
4.041666666666666,2.1987396737110832e-08,8.562070380494873e-09
4.083333333333333,2.3847038229176712e-08,9.286229840022085e-09
4.125,2.503833973802567e-08,9.750132296738968e-09
4.166666666666666,2.5734617896018953e-08,1.0021268651097721e-08
4.208333333333333,2.6109247335309584e-08,1.0167152389139246e-08
4.25,2.6278384417279107e-08,1.0233015738815852e-08
4.291666666666666,2.6316764624126246e-08,1.0247961302229847e-08
4.333333333333333,2.627220317547902e-08,1.0230608713192763e-08
4.375,2.6175269570604093e-08,1.0192861982322467e-08
4.416666666666666,2.60455035087594e-08,1.0142330026775468e-08
4.458333333333333,2.589539218316536e-08,1.0083875460734174e-08
4.5,2.5732913506312884e-08,1.0020604947941154e-08
4.541666666666666,2.5563161983225562e-08,9.954502329916495e-09
4.583333333333333,2.538938978033827e-08,9.886834026611477e-09
4.625,2.521366961811741e-08,9.8184071721641e-09
4.666666666666666,2.503732095234598e-08,9.749735573343451e-09
4.708333333333333,2.486118146243059e-08,9.681145429295401e-09
4.75,2.4685780968949688e-08,9.612843056444581e-09
4.791666666666666,2.4511452394943917e-08,9.544958097719592e-09
4.833333333333333,2.4338402820440634e-08,9.47757119176037e-09
4.875,2.416675935394348e-08,9.410731835647772e-09
4.916666666666666,2.3996597346177902e-08,9.344469371564603e-09
4.958333333333333,2.382795939408254e-08,9.278800387103792e-09
5.0,2.3660867322138432e-08,9.213733380895028e-09
5.041666666666666,2.530779245748444e-08,9.855059368179299e-09
5.083333333333333,2.7147814389331094e-08,1.0571578812044818e-08
5.125,2.8319654810858066e-08,1.1027902963729776e-08
5.166666666666666,2.899666835251961e-08,1.129153752045156e-08
5.208333333333333,2.9352212362812116e-08,1.1429989237855185e-08
5.25,2.9502447028921942e-08,1.1488491833692345e-08
5.291666666666666,2.9522105646497293e-08,1.1496147058604866e-08
5.333333333333333,2.9459001416337393e-08,1.1471573760255993e-08
5.375,2.9343702106143934e-08,1.1426675274978166e-08
5.416666666666666,2.9195745731678105e-08,1.1369059864360632e-08
5.458333333333333,2.902761778534242e-08,1.1303589480273527e-08
5.5,2.8847294221387474e-08,1.123337002390478e-08
5.541666666666666,2.865986866560545e-08,1.1160384994394646e-08
5.583333333333333,2.846859112782893e-08,1.1085899971896e-08
5.625,2.8275532771301843e-08,1.1010721484151807e-08
5.666666666666666,2.8082011412962327e-08,1.0935362699751683e-08
5.708333333333333,2.7888863223165612e-08,1.0860149230204678e-08
5.75,2.7696616428278972e-08,1.0785286771136671e-08
5.791666666666666,2.7505602314280634e-08,1.0710904327990902e-08
5.833333333333333,2.7316026658565952e-08,1.0637082032151851e-08
5.875,2.7128014956074838e-08,1.056386875236559e-08
5.916666666666666,2.6941640924317833e-08,1.0491293194827817e-08
5.958333333333333,2.6756945785066242e-08,1.0419371411630156e-08
6.0,2.6573949836437155e-08,1.0348111307023814e-08
6.041666666666666,2.8205130864221213e-08,1.0983306411301094e-08
6.083333333333333,3.002953166036384e-08,1.1693742858397134e-08
6.125,3.118593279054978e-08,1.2144054824980446e-08
6.166666666666666,3.184763369253795e-08,1.2401726515785807e-08
6.208333333333333,3.2188022749086515e-08,1.2534276771451134e-08
6.25,3.232324427731228e-08,1.2586933129794504e-08
6.291666666666666,3.232803241486392e-08,1.2588797669339533e-08
6.333333333333333,3.225019951870415e-08,1.2558488909152707e-08
6.375,3.212031213013532e-08,1.2507909707996621e-08
6.416666666666666,3.1957906959610856e-08,1.2444667819163106e-08
6.458333333333333,3.1775468181768614e-08,1.2373624681374071e-08
6.5,3.15809707318039e-08,1.2297885798989058e-08
6.541666666666666,3.137950612228903e-08,1.2219433848243391e-08
6.583333333333333,3.117432366313742e-08,1.2139534136735755e-08
6.625,3.096749321085246e-08,1.2058992683353761e-08
6.666666666666666,3.0760331316735095e-08,1.1978322163837655e-08
6.708333333333333,3.055367281824946e-08,1.189784767065789e-08
6.75,3.0348044743203366e-08,1.1817774432711591e-08
6.791666666666666,3.014377715522664e-08,1.1738230979449626e-08
6.833333333333333,2.99410744924836e-08,1.1659296920749064e-08
6.875,2.9740061128202688e-08,1.1581020688552449e-08
6.916666666666666,2.9540809651983264e-08,1.150343054983772e-08
6.958333333333333,2.934336000039892e-08,1.142654205623011e-08
7.0,2.9147731349500234e-08,1.1350362675039033e-08
7.041666666666666,3.076640725801941e-08,1.1980688184586998e-08
7.083333333333333,3.25783763056395e-08,1.268628360811507e-08
7.125,3.372259343114794e-08,1.3131851024590318e-08
7.166666666666666,3.437211441780495e-08,1.3384779757712207e-08
7.208333333333333,3.470042781464491e-08,1.3512627653677924e-08
7.25,3.482372270374836e-08,1.3560639682145001e-08
7.291666666666666,3.4816698817533155e-08,1.3557904523961509e-08
7.333333333333333,3.472716649170439e-08,1.3523039911099838e-08
7.375,3.458569147947694e-08,1.3467948395434946e-08
7.416666666666666,3.441180935274985e-08,1.3400237286896358e-08
7.458333333333333,3.4218003203665314e-08,1.3324767602673407e-08
7.5,3.401224645928512e-08,1.3244644259846229e-08
7.541666666666666,3.3799630783633305e-08,1.3161849993626675e-08
7.583333333333333,3.358340358367991e-08,1.3077649370591865e-08
7.625,3.3365633817457145e-08,1.2992848059757455e-08
7.666666666666666,3.3147636988420954e-08,1.2907958328824358e-08
7.708333333333333,3.293024703543459e-08,1.2823304920340571e-08
7.75,3.271398994467869e-08,1.273909265758516e-08
7.791666666666666,3.249919476899037e-08,1.265544967639812e-08
7.833333333333333,3.2286065178235895e-08,1.2572455287475038e-08
7.875,3.207472445513703e-08,1.249015749810632e-08
7.916666666666666,3.186524415895328e-08,1.2408584174047228e-08
7.958333333333333,3.1657663396540704e-08,1.2327750543824262e-08
8.0,3.145200035286335e-08,1.2247663688809714e-08
8.041666666666666,3.3060718964821875e-08,1.2874111746425964e-08
8.083333333333332,3.486289360751122e-08,1.3575893149342375e-08
8.125,3.599727271629192e-08,1.401762956241897e-08
8.166666666666666,3.663715824076866e-08,1.426680616852362e-08
8.208333333333332,3.6955943220556515e-08,1.4390943621712038e-08
8.25,3.70697658053567e-08,1.4435267058160709e-08
8.291666666666666,3.705335928216448e-08,1.442887822514193e-08
8.333333333333332,3.695453408185034e-08,1.439039489168627e-08
8.375,3.680385481999987e-08,1.4331719166666615e-08
8.416666666666666,3.662085630587563e-08,1.4260458063035681e-08
8.458333333333332,3.6418020825212964e-08,1.4181472283961434e-08
8.5,3.620332136554884e-08,1.4097866575369485e-08
8.541666666666666,3.598184761219724e-08,1.4011622901945966e-08
8.583333333333332,3.575684730618487e-08,1.3924005960352363e-08
8.625,3.5530388139083544e-08,1.3835820926434403e-08
8.666666666666666,3.530378495455833e-08,1.374757981096508e-08
8.708333333333332,3.507787081538066e-08,1.3659607015335148e-08
8.75,3.485317095464555e-08,1.3572107069566024e-08
8.791666666666666,3.463001360410643e-08,1.3485207789761074e-08
8.833333333333332,3.4408601654815326e-08,1.3398988183339301e-08
8.875,3.4189057702651805e-08,1.3313495990129207e-08
8.916666666666666,3.3971452521597845e-08,1.322875877009262e-08
8.958333333333332,3.375582443082137e-08,1.3144791445023898e-08
9.0,3.354219091919741e-08,1.3061600825232637e-08
9.041666666666666,3.514301954067828e-08,1.368497645665042e-08
9.083333333333332,3.6937358184016713e-08,1.4383706457950433e-08
9.125,3.806400626295009e-08,1.4822432345385546e-08
