time,APlasma,[APlasma]
0.0,0.0,0.0
1.0,0.017973243258267053,0.010698359082301817
2.0,0.03593737741439041,0.02139129607999429
3.0,0.0538931954308363,0.03207928299454542
4.0,0.07184075638626614,0.04276235499182508
5.0,0.08978006706924349,0.05344051611264494
6.0,0.10771113266922105,0.0641137694459649
7.0,0.1256339557352155,0.07478211650905683
8.0,0.14354854114641655,0.08544556020620032
9.0,0.16145489208162492,0.09610410242953865
10.0,0.17935301243922552,0.10675774549953901
11.0,0.1972429063612906,0.1174064918817206
12.0,0.21512457807668575,0.12805034409326532
13.0,0.23299802806156558,0.13868930241759858
14.0,0.25086326406954734,0.14932337146996866
15.0,0.26872029009403137,0.15995255362739963
16.0,0.286569105144652,0.1705768483003881
17.0,0.30440971720253407,0.18119626023960364
18.0,0.3222421298437126,0.19181079157363845
19.0,0.3400663450674708,0.20242044349254218
20.0,0.35788237141104456,0.21302522107800273
21.0,0.3756902007756216,0.22362511950929856
22.0,0.39348984836671597,0.23422014783733094
23.0,0.4112813165717356,0.24481030748317595
24.0,0.42906460328956086,0.25539559719616717
25.0,0.4468397228426977,0.26597602550160576
26.0,0.4646066652444649,0.27655158645503863
27.0,0.48236544469076054,0.28712228850640514
28.0,0.5001160587686497,0.2976881302194344
29.0,0.5178585161785154,0.3082491167729259
30.0,0.5355928157867078,0.318805247492088
31.0,0.5533189663420377,0.3293565275845463
32.0,0.5710369697020805,0.3399029581560003
33.0,0.5887468286848644,0.3504445408838479
34.0,0.6064485465373243,0.36098127770078825
35.0,0.6241421267482333,0.3715131706834722
36.0,0.6418275763374935,0.3820402240104129
37.0,0.659504896083607,0.39256243814500413
38.0,0.6771740892463604,0.4030798150275955
39.0,0.6948351614877619,0.41359235802842975
40.0,0.7124881125167206,0.42410006697423847
41.0,0.7301329591044031,0.434602951847859
42.0,0.747769690055538,0.4451010059854393
43.0,0.7653983141047639,0.45559423458616904
44.0,0.7830188351691327,0.46608263998162663
45.0,0.8006312570733122,0.47656622444840013
46.0,0.8182355835330593,0.48704499019824954
47.0,0.8358318185635445,0.4975189396211574
48.0,0.8534199654354949,0.5079880746639851
49.0,0.8710000282615104,0.5184523977747085
50.0,0.8885720058584714,0.5289119082490902
51.0,0.9061359114729738,0.5393666139720082
52.0,0.9236917441762252,0.5498165143906102
53.0,0.941239506573094,0.5602616110554132
54.0,0.9587792060093515,0.5707019083388997
55.0,0.976310842526864,0.5811374062659904
56.0,0.993834416836792,0.5915681052599953
57.0,1.011349937118016,0.6019940101892951
58.0,1.0288574078220343,0.6124151237035919
59.0,1.0463568327647836,0.6228314480742759
60.0,1.0638482129005447,0.6332429838693718
61.0,1.081331553224395,0.6436497340621399
62.0,1.0988068561517843,0.6540517000903479
63.0,1.116274128134714,0.6644488857944726
64.0,1.1337333701054502,0.6748412917294346
65.0,1.1511845776845437,0.685228915288419
66.0,1.1686277851837525,0.6956117768950908
67.0,1.1860629642116989,0.7059898596498208
68.0,1.2034901282909716,0.7163631716017689
69.0,1.2209092826357848,0.7267317158546338
70.0,1.238320427816447,0.7370954927478851
71.0,1.255723575391032,0.7474545091613287
72.0,1.2731187211389792,0.7578087625827257
73.0,1.2905058729355472,0.7681582576997305
74.0,1.3078850294428144,0.778502993715961
75.0,1.325256200384827,0.7888429764195398
76.0,1.3426193862094484,0.7991782060770527
77.0,1.359974647427006,0.8095087187065512
78.0,1.3773218169908485,0.8198344148755051
79.0,1.3946610714681955,0.8301553996834496
80.0,1.4119923533770893,0.840471638914934
81.0,1.4293156733859997,0.8507831389202379
82.0,1.4466310286707327,0.8610898980182933
83.0,1.4639384236875577,0.8713919188616415
84.0,1.4812378657365841,0.881689205795586
85.0,1.4985293544161244,0.8919817585810265
86.0,1.51581290057308,0.9022695836744525
87.0,1.5330884937847051,0.9125526748718483
88.0,1.5503561470724756,0.9228310399240927
89.0,1.5676158670544844,0.9331046827705265
90.0,1.5848676534150037,0.9433736032232165
91.0,1.60211151218568,0.9536378048724286
92.0,1.6193474352058435,0.9638972828606213
93.0,1.6365754463821667,0.9741520514179562
94.0,1.653795539059653,0.9844021065831268
95.0,1.671007713455379,0.9946474484853445
96.0,1.68821201458284,1.0048881039183573
97.0,1.7054083324010854,1.0151240073815984
98.0,1.7225967813518719,1.025355226995162
99.0,1.7397773299320258,1.0355817440071582
100.0,1.7569499814814866,1.0458035604056468
101.0,1.7741147410313252,1.0560206791853126
102.0,1.791271612261339,1.0662331025365113
103.0,1.8084205988157638,1.0764408326284307
104.0,1.8255616017805014,1.0866438105836318
105.0,1.842694789839735,1.0968421368093662
106.0,1.859820267746363,1.1070358736585495
107.0,1.8769377538506375,1.1172248534825222
108.0,1.894047353311135,1.1274091388756757
109.0,1.9111490970328364,1.1375887482338312
110.0,1.928242979826897,1.1477636784683911
111.0,1.9453290057914308,1.1579339320187088
112.0,1.9624071779372727,1.168099510676948
113.0,1.9794775004420262,1.1782604169297775
114.0,1.99653997553921,1.1884166521066728
115.0,2.01359461593654,1.19856822377175
116.0,2.030641404906151,1.208715121967947
117.0,2.047680361592838,1.2188573580909752
118.0,2.0647114893604988,1.228994934143154
119.0,2.0817347871369885,1.2391278494863027
120.0,2.0987502575336805,1.24925610567481
121.0,2.1157579144439835,1.2593797109785616
122.0,2.1327577515069094,1.2694986616112558
123.0,2.14974977354308,1.2796129604423097
