time,ABlood,[ABlood]
0.0,0.0,0.0
0.041666666666666664,2.0670576182089844e-07,4.3608810510738066e-08
0.08333333333333333,6.013797423447493e-07,1.2687336336387113e-07
0.125,1.1232872456352966e-06,2.3698043156862798e-07
0.16666666666666666,1.7059473482912604e-06,3.5990450385891567e-07
0.20833333333333334,2.2980385992287237e-06,4.848182698794775e-07
0.25,2.8665175192937664e-06,6.047505314965751e-07
0.2916666666666667,3.3923560692961093e-06,7.156869344506559e-07
0.3333333333333333,3.8661626140824574e-06,8.156461211144425e-07
0.375,4.284863535427054e-06,9.039796488242731e-07
0.4166666666666667,4.649354666165778e-06,9.808765118493202e-07
0.4583333333333333,4.962881855522618e-06,1.0470214885068814e-06
0.5,5.229946297388229e-06,1.1033641977612297e-06
0.5416666666666666,5.455581600269947e-06,1.1509665823354316e-06
0.5833333333333334,5.644891220093731e-06,1.19090532069488e-06
0.625,5.8027660113443394e-06,1.2242122386802403e-06
0.6666666666666666,5.933724501734319e-06,1.251840612180236e-06
0.7083333333333334,6.041835150264703e-06,1.2746487658786292e-06
0.75,6.130691927310088e-06,1.2933949213734364e-06
0.7916666666666666,6.203423270471081e-06,1.3087390865972745e-06
0.8333333333333334,6.2627207213420136e-06,1.3212490973295387e-06
0.875,6.3108780019230196e-06,1.3314088611651938e-06
0.9166666666666666,6.3498344364780516e-06,1.3396275182443145e-06
0.9583333333333334,6.381218826720385e-06,1.3462486976203342e-06
1.0,6.406391410479448e-06,1.3515593692994615e-06
1.0416666666666667,6.6331883121399555e-06,1.3994068169071634e-06
1.0833333333333333,7.043807320803682e-06,1.4860352997476123e-06
1.125,7.578284847885997e-06,1.5987942717059064e-06
1.1666666666666667,8.17077340443801e-06,1.7237918574763734e-06
1.2083333333333333,8.770470416512942e-06,1.8503102144542071e-06
1.25,9.34475628272962e-06,1.9714675701961224e-06
1.2916666666666667,9.874948393703928e-06,2.0833224459290986e-06
1.3333333333333333,1.035193599337341e-05,2.1839527412180192e-06
1.375,1.077287339467127e-05,2.272758100141618e-06
1.4166666666666667,1.1138841053813319e-05,2.349966467049223e-06
1.4583333333333333,1.1453234110770892e-05,2.4162941161963904e-06
1.5,1.1720674290715995e-05,2.472716095087763e-06
1.5416666666666667,1.1946292373480014e-05,2.520314846725741e-06
1.5833333333333333,1.213527004858915e-05,2.560183554554673e-06
1.625,1.2292561078539278e-05,2.5933673161475274e-06
1.6666666666666667,1.2422734516772513e-05,2.6208300668296438e-06
1.7083333333333333,1.2529899358781685e-05,2.643438683287275e-06
1.75,1.2617682063955558e-05,2.6619582413408347e-06
1.7916666666666667,1.2689237084113816e-05,2.6770542371548136e-06
1.8333333333333333,1.2747276771884728e-05,2.689298897022095e-06
1.875,1.2794111483688683e-05,2.6991796379090045e-06
1.9166666666666667,1.2831693829154828e-05,2.70710840277528e-06
1.9583333333333333,1.2861663212540888e-05,2.713431057498078e-06
2.0,1.2885388327090168e-05,2.7184363559261957e-06
2.0416666666666665,1.3110712081349328e-05,2.765973012942896e-06
2.0833333333333335,1.3519837578458597e-05,2.8522864089575094e-06
2.125,1.4052805485761456e-05,2.964726895730265e-06
2.1666666666666665,1.464377172411328e-05,3.089403317323477e-06
2.2083333333333335,1.5241936424882786e-05,3.2155984018740052e-06
2.25,1.5814682136224423e-05,3.3364308304270932e-06
2.2916666666666665,1.6343327955613918e-05,3.4479594843067338e-06
2.3333333333333335,1.6818764481607213e-05,3.548262548862281e-06
2.375,1.72381471018794e-05,3.6367398949112655e-06
2.4166666666666665,1.7602557124708846e-05,3.7136196465630476e-06
2.4583333333333335,1.7915390365460887e-05,3.7796182205613683e-06
2.5,1.818126908441475e-05,3.835710777302691e-06
2.5416666666666665,1.8405324485185792e-05,3.882979849195315e-06
2.5833333333333335,1.859273859279306e-05,3.9225186904626705e-06
2.625,1.874846543523184e-05,3.955372454690262e-06
2.6666666666666665,1.8877074275973436e-05,3.982505121513382e-06
2.7083333333333335,1.898267427660224e-05,4.0047836026587e-06
2.75,1.906889202780526e-05,4.022973001646679e-06
2.7916666666666665,1.9138882085160064e-05,4.037738836531659e-06
2.8333333333333335,1.9195356883260586e-05,4.049653350898858e-06
2.875,1.9240626843254914e-05,4.059203975370235e-06
2.9166666666666665,1.9276644625868987e-05,4.06680266368544e-06
2.9583333333333335,1.9305049675681865e-05,4.072795290228241e-06
3.0,1.93272107177411e-05,4.077470615557194e-06
3.0416666666666665,1.955097063407364e-05,4.124677348960683e-06
3.0833333333333335,1.9958532712899635e-05,4.210660909894437e-06
3.125,2.0489937462929275e-05,4.322771616651746e-06
3.1666666666666665,2.107934087665347e-05,4.447118328407905e-06
3.2083333333333335,2.167594309530065e-05,4.572983775379884e-06
3.25,2.2247126675006912e-05,4.693486640296816e-06
3.2916666666666665,2.2774210719463985e-05,4.804685805794089e-06
3.3333333333333335,2.3248085831927877e-05,4.9046594582126314e-06
3.375,2.3665907403988985e-05,4.992807469195988e-06
3.4166666666666665,2.4028756746868803e-05,5.069357963474431e-06
3.4583333333333335,2.4340029678172118e-05,5.135027358264159e-06
3.5,2.460434845991157e-05,5.190790814327336e-06
3.5416666666666665,2.482684429704374e-05,5.237730864355219e-06
3.5833333333333335,2.5012699215620777e-05,5.276940762789193e-06
3.625,2.516686724442685e-05,5.309465663381191e-06
3.6666666666666665,2.5293917647533217e-05,5.336269545893084e-06
3.7083333333333335,2.5397959586974203e-05,5.358219322146456e-06
3.75,2.5482619653769527e-05,5.376080095731967e-06
3.7916666666666665,2.5551052403737826e-05,5.3905173847548155e-06
3.8333333333333335,2.5605970271641863e-05,5.402103432835836e-06
3.875,2.5649683678742144e-05,5.411325670620705e-06
3.9166666666666665,2.5684145285832715e-05,5.418596051863442e-06
3.9583333333333335,2.5710994537526094e-05,5.4242604509548715e-06
4.0,2.5731600158877807e-05,5.428607628455234e-06
4.041666666666667,2.5953805180401307e-05,5.475486324979179e-06
4.083333333333333,2.6359812505977178e-05,5.561141878898138e-06
4.125,2.688966298114972e-05,5.672924679567452e-06
4.166666666666667,2.747751248950631e-05,5.796943563186985e-06
4.208333333333333,2.807256117317479e-05,5.922481260163458e-06
4.25,2.8642191591132714e-05,6.042656453825466e-06
4.291666666666667,2.9167722848932766e-05,6.153528027201006e-06
4.333333333333333,2.96400455509112e-05,6.253174166858902e-06
4.375,3.0056315089283558e-05,6.34099474457459e-06
4.416666666666667,3.041761277561107e-05,6.417217885150015e-06
4.458333333333333,3.0727334427649716e-05,6.482560005833273e-06
4.5,3.099010230744085e-05,6.537996267392585e-06
4.541666666666667,3.1211047619889236e-05,6.584609202508277e-06
4.583333333333333,3.1395352390944475e-05,6.6234920656001e-06
4.625,3.1547970649258873e-05,6.655690010392167e-06
4.666666666666667,3.167347165875576e-05,6.682167016615139e-06
4.708333333333333,3.177596458131467e-05,6.703789996057946e-06
4.75,3.185907600779983e-05,6.721324052278445e-06
4.791666666666667,3.192596049387695e-05,6.735434703349566e-06
4.833333333333333,3.197933047416057e-05,6.746694192860879e-06
4.875,3.202149636976873e-05,6.755589951428002e-06
4.916666666666667,3.2054410841358955e-05,6.762533932776151e-06
4.958333333333333,3.207971333341316e-05,6.767872011268599e-06
5.0,3.209877257086269e-05,6.771892947439385e-06
5.041666666666667,3.2319431438469796e-05,6.818445451153965e-06
5.083333333333333,3.272389322008957e-05,6.903774940947167e-06
5.125,3.3252198425226865e-05,7.015231735279929e-06
5.166666666666667,3.383850304609286e-05,7.138924693268536e-06
5.208333333333333,3.443200722365534e-05,7.264136545074966e-06
5.25,3.500009351414155e-05,7.383985973447585e-06
5.291666666666667,3.552408102123333e-05,7.4945318610196895e-06
5.333333333333333,3.599486034810822e-05,7.593852394115658e-06
5.375,3.6409586886237996e-05,7.681347444354007e-06
5.416666666666667,3.6769341946700976e-05,7.757245136434806e-06
5.458333333333333,3.7077521346942015e-05,7.82226188754051e-06
5.5,3.7338747348803395e-05,7.87737285839734e-06
5.541666666666667,3.755815115706427e-05,7.92366058165913e-06
5.583333333333333,3.774091479759485e-05,7.96221831172887e-06
5.625,3.789199229899456e-05,7.994091202319527e-06
5.666666666666667,3.801595292514854e-05,8.020243233153699e-06
5.708333333333333,3.8116905837904224e-05,8.041541316013549e-06
5.75,3.819847762809432e-05,8.058750554450277e-06
5.791666666666667,3.826382285135063e-05,8.072536466529668e-06
5.833333333333333,3.8315653942249386e-05,8.083471295833203e-06
5.875,3.835628132186508e-05,8.092042472967317e-06
5.916666666666667,3.838765765080618e-05,8.098661951646874e-06
5.958333333333333,3.841142237350016e-05,8.103675606223662e-06
6.0,3.842894421481799e-05,8.107372197218985e-06
6.041666666666667,3.864806619614469e-05,8.153600463321663e-06
6.083333333333333,3.905099132595142e-05,8.238605764968653e-06
6.125,3.9577760285742685e-05,8.349738456907739e-06
6.166666666666667,4.01625290176672e-05,8.473107387693503e-06
6.208333333333333,4.075449766360755e-05,8.597995287680918e-06
6.25,4.132104878600438e-05,8.717520840929193e-06
6.291666666666667,4.184350149293984e-05,8.827742930999967e-06
6.333333333333333,4.2312746390242415e-05,8.926739744776879e-06
6.375,4.2725938870969625e-05,9.013911154213002e-06
6.416666666666667,4.308416024712199e-05,9.089485284202951e-06
6.458333333333333,4.33908063366281e-05,9.154178552031244e-06
6.5,4.3650499401527094e-05,9.208966118465631e-06
6.541666666666667,4.3868370646605605e-05,9.25493051616152e-06
6.583333333333333,4.404960209762487e-05,9.293164999498916e-06
6.625,4.4199147783004294e-05,9.324714722152805e-06
6.666666666666667,4.432157696641194e-05,9.350543663799987e-06
6.708333333333333,4.4420998809461325e-05,9.371518736173274e-06
6.75,4.4501039902748836e-05,9.388405042774015e-06
6.791666666666667,4.456485480167543e-05,9.401868101619288e-06
6.833333333333333,4.461515594059709e-05,9.412480156244111e-06
6.875,4.465425374038078e-05,9.420728637211134e-06
6.916666666666667,4.4684100861441176e-05,9.42702549819434e-06
6.958333333333333,4.4706336748025205e-05,9.431716613507428e-06
7.0,4.4722330124837145e-05,9.435090743636528e-06
7.041666666666667,4.493992399142625e-05,9.480996622663766e-06
7.083333333333333,4.534132140375969e-05,9.565679621046347e-06
7.125,4.586656300929499e-05,9.676490086349155e-06
7.166666666666667,4.644980475944598e-05,9.799536869081428e-06
7.208333333333333,4.704024679658766e-05,9.924102699702038e-06
7.25,4.760527168231673e-05,1.0043306262092135e-05
7.291666666666667,4.8126198523943933e-05,1.015320643965062e-05
7.333333333333333,4.859391792680115e-05,1.025188141915636e-05
7.375,4.900558528361148e-05,1.0338731072491874e-05
7.416666666666667,4.93622819061358e-05,1.0413983524501221e-05
7.458333333333333,4.966740361212709e-05,1.0478355192431875e-05
7.5,4.992557266348717e-05,1.0532821237022608e-05
7.541666666666667,5.0141920264893254e-05,1.057846419090575e-05
7.583333333333333,5.0321628442013145e-05,1.0616377308441592e-05
7.625,5.0469651223184205e-05,1.0647605743287806e-05
7.666666666666667,5.0590557871997406e-05,1.0673113475104937e-05
7.708333333333333,5.068845754999259e-05,1.069376741561025e-05
7.75,5.076697684769329e-05,1.0710332668289723e-05
7.791666666666667,5.082927032042736e-05,1.0723474751145012e-05
7.833333333333333,5.087805040247665e-05,1.0733765907695495e-05
7.875,5.091562751463274e-05,1.074169356848792e-05
7.916666666666667,5.094395431723321e-05,1.0747669687180002e-05
7.958333333333333,5.09646702544465e-05,1.0752040138068882e-05
8.0,5.097914405089684e-05,1.0755093681623805e-05
8.041666666666666,5.119521873245909e-05,1.080067905748082e-05
8.083333333333334,5.159509724763788e-05,1.0885041613425711e-05
8.125,5.21188203754729e-05,1.0995531724783313e-05
8.166666666666666,5.27005440204523e-05,1.111825823216293e-05
8.208333333333334,5.328946832253988e-05,1.1242503865514741e-05
8.25,5.385297584253856e-05,1.136138730855244e-05
8.291666666666666,5.4372385687308426e-05,1.1470967444579837e-05
8.333333333333334,5.483858846179858e-05,1.1569322460295059e-05
8.375,5.524873955844476e-05,1.165585222751999e-05
8.416666666666666,5.560392028879216e-05,1.1730784871053198e-05
8.458333333333334,5.590752647043702e-05,1.1794836808109076e-05
8.5,5.616418036516374e-05,1.1848983199401633e-05
8.541666666666666,5.637901317755572e-05,1.1894306577543402e-05
8.583333333333334,5.655720693320307e-05,1.1931900196878284e-05
8.625,5.67037156603734e-05,1.1962809211049241e-05
8.666666666666666,5.682310862259275e-05,1.198799759970311e-05
8.708333333333334,5.691949498133717e-05,1.2008332274543706e-05
8.75,5.69965013270659e-05,1.2024578339043438e-05
8.791666666666666,5.705728221504121e-05,1.2037401311190129e-05
8.833333333333334,5.710455007947711e-05,1.204737343448884e-05
8.875,5.714061534109513e-05,1.2054982139471545e-05
8.916666666666666,5.716743066016053e-05,1.2060639379780703e-05
8.958333333333334,5.7186635480767134e-05,1.2064691029697707e-05
9.0,5.719959852746246e-05,1.2067425849675623e-05
9.041666666666666,5.7414162726597425e-05,1.2112692558353887e-05
9.083333333333334,5.781253126030546e-05,1.2196736552807059e-05
9.125,5.833474472190869e-05,1.2306908169179047e-05
9.166666666666666,5.891495907456654e-05,1.2429316260457075e-05
9.208333333333334,5.950237445926505e-05,1.2553243556806972e-05
9.25,6.006437343337353e-05,1.2671808741218044e-05
9.291666666666666,6.058227510119424e-05,1.278107069645448e-05
9.333333333333334,6.104697006610573e-05,1.2879107608883067e-05
9.375,6.145561371955281e-05,1.2965319350116628e-05
9.416666666666666,6.180928737245186e-05,1.3039934044821067e-05
9.458333333333334,6.211138684199986e-05,1.3103668110126549e-05
9.5,6.236653438973429e-05,1.3157496706694999e-05
9.541666666666666,6.257986122009301e-05,1.320250236710823e-05
9.583333333333334,6.275654935858212e-05,1.3239778345692431e-05
9.625,6.290155283342353e-05,1.3270369796080915e-05
9.666666666666666,6.301944090811776e-05,1.3295240697915139e-05
9.708333333333334,6.311432274412466e-05,1.3315257962895496e-05
9.75,6.318982493188923e-05,1.3331186694491399e-05
9.791666666666666,6.324910202665682e-05,1.3343692410687091e-05
9.833333333333334,6.329486646261954e-05,1.3353347354983026e-05
9.875,6.33294286604705e-05,1.3360638957905167e-05
9.916666666666666,6.335474128043964e-05,1.336597917308853e-05
9.958333333333334,6.337244376657868e-05,1.3369713874805627e-05
10.0,6.338390484338586e-05,1.3372131823499128e-05
